AUPR score: 

GRNBOOST2: 0.5938581107053622
ARACNE: 0.6363492216029213
MRNETB: 0.6031063809340764
PCACMI: 0.5198719488756487
PLSNET: 0.584609840476648
MEOMI: 0.6072989941700302
PIDC: 0.6031063809340764
GENIE3_RF: 0.5938581107053622
LEAP: 0.6216029213915049
RSNET: 0.5938581107053623
NONLINEARODES: 0.5476167595617912
BC3NET: 0.5482857112349712
CMI2NI: 0.5568650297905055
MRNET: 0.6400994618489333
KBOOST: 0.6308511916202191
TIGRESS: 0.4828788679607919
INFERELATOR: 0.6123546511627908
GENIE3_ET: 0.5938581107053622
PCIT: 0.584609840476648
LOCPCACMI: 0.580696633352553
C3NET: 0.6270695477883639
CLR: 0.6493477320776474
NARROMI: 0.4976686527003652
EB_full: 0.6737362144550305
EB_ten: 0.6737362144550305
EB_five: 0.680067818017078
EB_bootstrapping: 0.6776859504132231
EB_bootstrapping_zero: 0.6776859504132231
EB_zero: 0.6737362144550305
ensemble_all: 0.6493477320776474
ensemble_ten: 0.6585960023063617
ensemble_five: 0.6400994618489333

GRNBOOST2 connection information
27 --- 27
28 --- 28
29 --- 29
30 --- 30
31 --- 31
32 --- 32
33 --- 33
34 --- 34
35 --- 35
36 --- 36
37 --- 37
38 --- 38
39 --- 39
40 --- 40

MISSED:
0 --- 0
1 --- 1
2 --- 2
3 --- 3
4 --- 4
5 --- 5
6 --- 6
7 --- 7
8 --- 8
9 --- 9
10 --- 10
11 --- 11
12 --- 12
13 --- 13
14 --- 14
15 --- 15
16 --- 16
17 --- 17
18 --- 18
19 --- 19
20 --- 20
21 --- 21
22 --- 22
23 --- 23
24 --- 24
25 --- 25
26 --- 26
27 --- 27
28 --- 28
29 --- 29
30 --- 30
31 --- 31
32 --- 32
33 --- 33
34 --- 34
35 --- 35
36 --- 36
37 --- 37
38 --- 38
39 --- 39
40 --- 40
41 --- 41
42 --- 42
43 --- 43
44 --- 44
45 --- 45
46 --- 46
47 --- 47
48 --- 48
49 --- 49
50 --- 50
51 --- 51
52 --- 52
53 --- 53
54 --- 54
55 --- 55
56 --- 56
57 --- 57
58 --- 58
59 --- 59
60 --- 60
61 --- 61
62 --- 62
63 --- 63
64 --- 64
65 --- 65
66 --- 66
67 --- 67
68 --- 68
69 --- 69
70 --- 70
71 --- 71
72 --- 72
73 --- 73

INCORRECT:
0 --- 0
1 --- 1
2 --- 2
3 --- 3
4 --- 4
5 --- 5
6 --- 6
7 --- 7
8 --- 8
9 --- 9
10 --- 10
11 --- 11
12 --- 12
13 --- 13
14 --- 14
15 --- 15
16 --- 16
17 --- 17
18 --- 18
19 --- 19
20 --- 20
21 --- 21
22 --- 22
23 --- 23
24 --- 24
25 --- 25
26 --- 26
27 --- 27
28 --- 28
29 --- 29
30 --- 30
31 --- 31
32 --- 32
33 --- 33
34 --- 34
35 --- 35
36 --- 36
37 --- 37
38 --- 38


MRNET connection information

FOUND:
0 --- 0
1 --- 1
2 --- 2
3 --- 3
4 --- 4
5 --- 5
6 --- 6
7 --- 7
8 --- 8
9 --- 9
10 --- 10
11 --- 11
12 --- 12
13 --- 13
14 --- 14
15 --- 15
16 --- 16
17 --- 17
18 --- 18
19 --- 19
20 --- 20
21 --- 21
22 --- 22
23 --- 23
24 --- 24
25 --- 25
26 --- 26
27 --- 27
28 --- 28
29 --- 29
30 --- 30
31 --- 31
32 --- 32
33 --- 33
34 --- 34
35 --- 35
36 --- 36
37 --- 37
38 --- 38
39 --- 39
40 --- 40
41 --- 41
42 --- 42
43 --- 43
44 --- 44
45 --- 45
46 --- 46
47 --- 47
48 --- 48
49 --- 49

MISSED:
0 --- 0
1 --- 1
2 --- 2
3 --- 3
4 --- 4
5 --- 5
6 --- 6
7 --- 7
8 --- 8
9 --- 9
10 --- 10
11 --- 11
12 --- 12
13 --- 13
14 --- 14
15 --- 15
16 --- 16
17 --- 17
18 --- 18
19 --- 19
20 --- 20
21 --- 21
22 --- 22
23 --- 23
24 --- 24
25 --- 25
26 --- 26
27 --- 27
28 --- 28
29 --- 29
30 --- 30
31 --- 31
32 --- 32
33 --- 33
34 --- 34
35 --- 35
36 --- 36
37 --- 37
38 --- 38
39 --- 39
40 --- 40
41 --- 41
42 --- 42
43 --- 43
44 --- 44
45 --- 45
46 --- 46
47 --- 47
48 --- 48
49 --- 49
50 --- 50
51 --- 51
52 --- 52
53 --- 53
54 --- 54
55 --- 55
56 --- 56
57 --- 57
58 --- 58
59 --- 59
60 --- 60
61 --- 61
62 --- 62
63 --- 63
64 --- 64

INCORRECT:
0 --- 0
1 --- 1
2 --- 2
3 --- 3
4 --- 4
5 --- 5
6 --- 6
7 --- 7
8 --- 8
9 --- 9
10 --- 10
11 --- 11
12 --- 12
13 --- 13
14 --- 14
15 --- 15
16 --- 16
17 --- 17
18 --- 18
19 --- 19
20 --- 20
21 --- 21
22 --- 22
23 --- 23
24 --- 24
25 --- 25
26 --- 26
27 --- 27
28 --- 28
29 --- 29


KBOOST connection information

FOUND:
0 --- 0
1 --- 1
2 --- 2
3 --- 3
4 --- 4
5 --- 5
6 --- 6
7 --- 7
8 --- 8
9 --- 9
10 --- 10
11 --- 11
12 --- 12
13 --- 13
14 --- 14
15 --- 15
16 --- 16
17 --- 17
18 --- 18
19 --- 19
20 --- 20
21 --- 21
22 --- 22
23 --- 23
24 --- 24
25 --- 25
26 --- 26
27 --- 27
28 --- 28
29 --- 29
30 --- 30
31 --- 31
32 --- 32
33 --- 33
34 --- 34
35 --- 35
36 --- 36
37 --- 37
38 --- 38
39 --- 39
40 --- 40
41 --- 41
42 --- 42
43 --- 43
44 --- 44
45 --- 45
46 --- 46
47 --- 47
48 --- 48

MISSED:
0 --- 0
1 --- 1
2 --- 2
3 --- 3
4 --- 4
5 --- 5
6 --- 6
7 --- 7
8 --- 8
9 --- 9
10 --- 10
11 --- 11
12 --- 12
13 --- 13
14 --- 14
15 --- 15
16 --- 16
17 --- 17
18 --- 18
19 --- 19
20 --- 20
21 --- 21
22 --- 22
23 --- 23
24 --- 24
25 --- 25
26 --- 26
27 --- 27
28 --- 28
29 --- 29
30 --- 30
31 --- 31
32 --- 32
33 --- 33
34 --- 34
35 --- 35
36 --- 36
37 --- 37
38 --- 38
39 --- 39
40 --- 40
41 --- 41
42 --- 42
43 --- 43
44 --- 44
45 --- 45
46 --- 46
47 --- 47
48 --- 48
49 --- 49
50 --- 50
51 --- 51
52 --- 52
53 --- 53
54 --- 54
55 --- 55
56 --- 56
57 --- 57
58 --- 58
59 --- 59
60 --- 60
61 --- 61
62 --- 62
63 --- 63
64 --- 64
65 --- 65

INCORRECT:
0 --- 0
1 --- 1
2 --- 2
3 --- 3
4 --- 4
5 --- 5
6 --- 6
7 --- 7
8 --- 8
9 --- 9
10 --- 10
11 --- 11
12 --- 12
13 --- 13
14 --- 14
15 --- 15
16 --- 16
17 --- 17
18 --- 18
19 --- 19
20 --- 20
21 --- 21
22 --- 22
23 --- 23
24 --- 24
25 --- 25
26 --- 26
27 --- 27
28 --- 28
29 --- 29
30 --- 30


TIGRESS connection information

FOUND:
0 --- 0
1 --- 1
2 --- 2
3 --- 3
4 --- 4
5 --- 5
6 --- 6
7 --- 7
8 --- 8
9 --- 9
10 --- 10
11 --- 11
12 --- 12
13 --- 13
14 --- 14
15 --- 15
16 --- 16
17 --- 17
18 --- 18
19 --- 19
20 --- 20
21 --- 21
22 --- 22
23 --- 23
24 --- 24
25 --- 25
26 --- 26
27 --- 27
28 --- 28
29 --- 29
30 --- 30
31 --- 31
32 --- 32

MISSED:
0 --- 0
1 --- 1
2 --- 2
3 --- 3
4 --- 4
5 --- 5
6 --- 6
7 --- 7
8 --- 8
9 --- 9
10 --- 10
11 --- 11
12 --- 12
13 --- 13
14 --- 14
15 --- 15
16 --- 16
17 --- 17
18 --- 18
19 --- 19
20 --- 20
21 --- 21
22 --- 22
23 --- 23
24 --- 24
25 --- 25
26 --- 26
27 --- 27
28 --- 28
29 --- 29
30 --- 30
31 --- 31
32 --- 32
33 --- 33
34 --- 34
35 --- 35
36 --- 36
37 --- 37
38 --- 38
39 --- 39
40 --- 40
41 --- 41
42 --- 42
43 --- 43
44 --- 44
45 --- 45
46 --- 46
47 --- 47
48 --- 48
49 --- 49
50 --- 50
51 --- 51
52 --- 52
53 --- 53
54 --- 54
55 --- 55
56 --- 56
57 --- 57
58 --- 58
59 --- 59
60 --- 60
61 --- 61
62 --- 62
63 --- 63
64 --- 64
65 --- 65
66 --- 66
67 --- 67
68 --- 68
69 --- 69
70 --- 70
71 --- 71
72 --- 72
73 --- 73
74 --- 74
75 --- 75
76 --- 76
77 --- 77
78 --- 78
79 --- 79
80 --- 80
81 --- 81

INCORRECT:
0 --- 0
1 --- 1
2 --- 2
3 --- 3
4 --- 4
5 --- 5
6 --- 6
7 --- 7
8 --- 8
9 --- 9
10 --- 10
11 --- 11
12 --- 12
13 --- 13
14 --- 14
15 --- 15
16 --- 16
17 --- 17
18 --- 18
19 --- 19
20 --- 20
21 --- 21
22 --- 22
23 --- 23
24 --- 24
25 --- 25
26 --- 26
27 --- 27
28 --- 28
29 --- 29
30 --- 30
31 --- 31
32 --- 32
33 --- 33
34 --- 34
35 --- 35
36 --- 36
37 --- 37
38 --- 38
39 --- 39
40 --- 40
41 --- 41
42 --- 42
43 --- 43
44 --- 44
45 --- 45
46 --- 46


INFERELATOR connection information

FOUND:
0 --- 0
1 --- 1
2 --- 2
3 --- 3
4 --- 4
5 --- 5
6 --- 6
7 --- 7
8 --- 8
9 --- 9
10 --- 10
11 --- 11
12 --- 12
13 --- 13
14 --- 14
15 --- 15
16 --- 16
17 --- 17
18 --- 18
19 --- 19
20 --- 20
21 --- 21
22 --- 22
23 --- 23
24 --- 24
25 --- 25
26 --- 26
27 --- 27
28 --- 28
29 --- 29
30 --- 30
31 --- 31
32 --- 32
33 --- 33
34 --- 34
35 --- 35
36 --- 36
37 --- 37
38 --- 38
39 --- 39
40 --- 40
41 --- 41
42 --- 42
43 --- 43
44 --- 44
45 --- 45
46 --- 46

MISSED:
0 --- 0
1 --- 1
2 --- 2
3 --- 3
4 --- 4
5 --- 5
6 --- 6
7 --- 7
8 --- 8
9 --- 9
10 --- 10
11 --- 11
12 --- 12
13 --- 13
14 --- 14
15 --- 15
16 --- 16
17 --- 17
18 --- 18
19 --- 19
20 --- 20
21 --- 21
22 --- 22
23 --- 23
24 --- 24
25 --- 25
26 --- 26
27 --- 27
28 --- 28
29 --- 29
30 --- 30
31 --- 31
32 --- 32
33 --- 33
34 --- 34
35 --- 35
36 --- 36
37 --- 37
38 --- 38
39 --- 39
40 --- 40
41 --- 41
42 --- 42
43 --- 43
44 --- 44
45 --- 45
46 --- 46
47 --- 47
48 --- 48
49 --- 49
50 --- 50
51 --- 51
52 --- 52
53 --- 53
54 --- 54
55 --- 55
56 --- 56
57 --- 57
58 --- 58
59 --- 59
60 --- 60
61 --- 61
62 --- 62
63 --- 63
64 --- 64
65 --- 65
66 --- 66
67 --- 67

INCORRECT:
0 --- 0
1 --- 1
2 --- 2
3 --- 3
4 --- 4
5 --- 5
6 --- 6
7 --- 7
8 --- 8
9 --- 9
10 --- 10
11 --- 11
12 --- 12
13 --- 13
14 --- 14
15 --- 15
16 --- 16
17 --- 17
18 --- 18
19 --- 19
20 --- 20
21 --- 21
22 --- 22
23 --- 23
24 --- 24
25 --- 25
26 --- 26
27 --- 27
28 --- 28
29 --- 29
30 --- 30
31 --- 31
32 --- 32


GENIE3_ET connection information

FOUND:
0 --- 0
1 --- 1
2 --- 2
3 --- 3
4 --- 4
5 --- 5
6 --- 6
7 --- 7
8 --- 8
9 --- 9
10 --- 10
11 --- 11
12 --- 12
13 --- 13
14 --- 14
15 --- 15
16 --- 16
17 --- 17
18 --- 18
19 --- 19
20 --- 20
21 --- 21
22 --- 22
23 --- 23
24 --- 24
25 --- 25
26 --- 26
27 --- 27
28 --- 28
29 --- 29
30 --- 30
31 --- 31
32 --- 32
33 --- 33
34 --- 34
35 --- 35
36 --- 36
37 --- 37
38 --- 38
39 --- 39
40 --- 40
41 --- 41
42 --- 42
43 --- 43
44 --- 44

MISSED:
0 --- 0
1 --- 1
2 --- 2
3 --- 3
4 --- 4
5 --- 5
6 --- 6
7 --- 7
8 --- 8
9 --- 9
10 --- 10
11 --- 11
12 --- 12
13 --- 13
14 --- 14
15 --- 15
16 --- 16
17 --- 17
18 --- 18
19 --- 19
20 --- 20
21 --- 21
22 --- 22
23 --- 23
24 --- 24
25 --- 25
26 --- 26
27 --- 27
28 --- 28
29 --- 29
30 --- 30
31 --- 31
32 --- 32
33 --- 33
34 --- 34
35 --- 35
36 --- 36
37 --- 37
38 --- 38
39 --- 39
40 --- 40
41 --- 41
42 --- 42
43 --- 43
44 --- 44
45 --- 45
46 --- 46
47 --- 47
48 --- 48
49 --- 49
50 --- 50
51 --- 51
52 --- 52
53 --- 53
54 --- 54
55 --- 55
56 --- 56
57 --- 57
58 --- 58
59 --- 59
60 --- 60
61 --- 61
62 --- 62
63 --- 63
64 --- 64
65 --- 65
66 --- 66
67 --- 67
68 --- 68
69 --- 69

INCORRECT:
0 --- 0
1 --- 1
2 --- 2
3 --- 3
4 --- 4
5 --- 5
6 --- 6
7 --- 7
8 --- 8
9 --- 9
10 --- 10
11 --- 11
12 --- 12
13 --- 13
14 --- 14
15 --- 15
16 --- 16
17 --- 17
18 --- 18
19 --- 19
20 --- 20
21 --- 21
22 --- 22
23 --- 23
24 --- 24
25 --- 25
26 --- 26
27 --- 27
28 --- 28
29 --- 29
30 --- 30
31 --- 31
32 --- 32
33 --- 33
34 --- 34


PCIT connection information

FOUND:
0 --- 0
1 --- 1
2 --- 2
3 --- 3
4 --- 4
5 --- 5
6 --- 6
7 --- 7
8 --- 8
9 --- 9
10 --- 10
11 --- 11
12 --- 12
13 --- 13
14 --- 14
15 --- 15
16 --- 16
17 --- 17
18 --- 18
19 --- 19
20 --- 20
21 --- 21
22 --- 22
23 --- 23
24 --- 24
25 --- 25
26 --- 26
27 --- 27
28 --- 28
29 --- 29
30 --- 30
31 --- 31
32 --- 32
33 --- 33
34 --- 34
35 --- 35
36 --- 36
37 --- 37
38 --- 38
39 --- 39
40 --- 40
41 --- 41
42 --- 42
43 --- 43

MISSED:
0 --- 0
1 --- 1
2 --- 2
3 --- 3
4 --- 4
5 --- 5
6 --- 6
7 --- 7
8 --- 8
9 --- 9
10 --- 10
11 --- 11
12 --- 12
13 --- 13
14 --- 14
15 --- 15
16 --- 16
17 --- 17
18 --- 18
19 --- 19
20 --- 20
21 --- 21
22 --- 22
23 --- 23
24 --- 24
25 --- 25
26 --- 26
27 --- 27
28 --- 28
29 --- 29
30 --- 30
31 --- 31
32 --- 32
33 --- 33
34 --- 34
35 --- 35
36 --- 36
37 --- 37
38 --- 38
39 --- 39
40 --- 40
41 --- 41
42 --- 42
43 --- 43
44 --- 44
45 --- 45
46 --- 46
47 --- 47
48 --- 48
49 --- 49
50 --- 50
51 --- 51
52 --- 52
53 --- 53
54 --- 54
55 --- 55
56 --- 56
57 --- 57
58 --- 58
59 --- 59
60 --- 60
61 --- 61
62 --- 62
63 --- 63
64 --- 64
65 --- 65
66 --- 66
67 --- 67
68 --- 68
69 --- 69
70 --- 70

INCORRECT:
0 --- 0
1 --- 1
2 --- 2
3 --- 3
4 --- 4
5 --- 5
6 --- 6
7 --- 7
8 --- 8
9 --- 9
10 --- 10
11 --- 11
12 --- 12
13 --- 13
14 --- 14
15 --- 15
16 --- 16
17 --- 17
18 --- 18
19 --- 19
20 --- 20
21 --- 21
22 --- 22
23 --- 23
24 --- 24
25 --- 25
26 --- 26
27 --- 27
28 --- 28
29 --- 29
30 --- 30
31 --- 31
32 --- 32
33 --- 33
34 --- 34
35 --- 35


LOCPCACMI connection information

FOUND:
0 --- 0
1 --- 1
2 --- 2
3 --- 3
4 --- 4
5 --- 5
6 --- 6
7 --- 7
8 --- 8
9 --- 9
10 --- 10
11 --- 11
12 --- 12
13 --- 13
14 --- 14
15 --- 15
16 --- 16
17 --- 17
18 --- 18
19 --- 19
20 --- 20
21 --- 21
22 --- 22
23 --- 23
24 --- 24
25 --- 25
26 --- 26
27 --- 27
28 --- 28
29 --- 29
30 --- 30
31 --- 31
32 --- 32
33 --- 33
34 --- 34
35 --- 35
36 --- 36
37 --- 37
38 --- 38
39 --- 39
40 --- 40
41 --- 41

MISSED:
0 --- 0
1 --- 1
2 --- 2
3 --- 3
4 --- 4
5 --- 5
6 --- 6
7 --- 7
8 --- 8
9 --- 9
10 --- 10
11 --- 11
12 --- 12
13 --- 13
14 --- 14
15 --- 15
16 --- 16
17 --- 17
18 --- 18
19 --- 19
20 --- 20
21 --- 21
22 --- 22
23 --- 23
24 --- 24
25 --- 25
26 --- 26
27 --- 27
28 --- 28
29 --- 29
30 --- 30
31 --- 31
32 --- 32
33 --- 33
34 --- 34
35 --- 35
36 --- 36
37 --- 37
38 --- 38
39 --- 39
40 --- 40
41 --- 41
42 --- 42
43 --- 43
44 --- 44
45 --- 45
46 --- 46
47 --- 47
48 --- 48
49 --- 49
50 --- 50
51 --- 51
52 --- 52
53 --- 53
54 --- 54
55 --- 55
56 --- 56
57 --- 57
58 --- 58
59 --- 59
60 --- 60
61 --- 61
62 --- 62
63 --- 63
64 --- 64
65 --- 65
66 --- 66
67 --- 67
68 --- 68
69 --- 69
70 --- 70
71 --- 71
72 --- 72

INCORRECT:
0 --- 0
1 --- 1
2 --- 2
3 --- 3
4 --- 4
5 --- 5
6 --- 6
7 --- 7
8 --- 8
9 --- 9
10 --- 10
11 --- 11
12 --- 12
13 --- 13
14 --- 14
15 --- 15
16 --- 16
17 --- 17
18 --- 18
19 --- 19
20 --- 20
21 --- 21
22 --- 22
23 --- 23
24 --- 24
25 --- 25
26 --- 26
27 --- 27
28 --- 28
29 --- 29
30 --- 30
31 --- 31
32 --- 32
33 --- 33


C3NET connection information

FOUND:
0 --- 0
1 --- 1
2 --- 2
3 --- 3
4 --- 4
5 --- 5
6 --- 6
7 --- 7
8 --- 8
9 --- 9
10 --- 10
11 --- 11
12 --- 12
13 --- 13
14 --- 14
15 --- 15
16 --- 16
17 --- 17
18 --- 18
19 --- 19
20 --- 20
21 --- 21
22 --- 22
23 --- 23
24 --- 24
25 --- 25

MISSED:
0 --- 0
1 --- 1
2 --- 2
3 --- 3
4 --- 4
5 --- 5
6 --- 6
7 --- 7
8 --- 8
9 --- 9
10 --- 10
11 --- 11
12 --- 12
13 --- 13
14 --- 14
15 --- 15
16 --- 16
17 --- 17
18 --- 18
19 --- 19
20 --- 20
21 --- 21
22 --- 22
23 --- 23
24 --- 24
25 --- 25
26 --- 26
27 --- 27
28 --- 28
29 --- 29
30 --- 30
31 --- 31
32 --- 32
33 --- 33
34 --- 34
35 --- 35
36 --- 36
37 --- 37
38 --- 38
39 --- 39
40 --- 40
41 --- 41
42 --- 42
43 --- 43
44 --- 44
45 --- 45
46 --- 46
47 --- 47
48 --- 48
49 --- 49
50 --- 50
51 --- 51
52 --- 52
53 --- 53
54 --- 54
55 --- 55
56 --- 56
57 --- 57
58 --- 58
59 --- 59
60 --- 60
61 --- 61
62 --- 62
63 --- 63
64 --- 64
65 --- 65
66 --- 66
67 --- 67
68 --- 68
69 --- 69
70 --- 70
71 --- 71
72 --- 72
73 --- 73
74 --- 74
75 --- 75
76 --- 76
77 --- 77
78 --- 78
79 --- 79
80 --- 80
81 --- 81
82 --- 82
83 --- 83
84 --- 84
85 --- 85
86 --- 86
87 --- 87
88 --- 88

INCORRECT:
0 --- 0
1 --- 1
2 --- 2
3 --- 3
4 --- 4
5 --- 5
6 --- 6
7 --- 7
8 --- 8


CLR connection information

FOUND:
0 --- 0
1 --- 1
2 --- 2
3 --- 3
4 --- 4
5 --- 5
6 --- 6
7 --- 7
8 --- 8
9 --- 9
10 --- 10
11 --- 11
12 --- 12
13 --- 13
14 --- 14
15 --- 15
16 --- 16
17 --- 17
18 --- 18
19 --- 19
20 --- 20
21 --- 21
22 --- 22
23 --- 23
24 --- 24
25 --- 25
26 --- 26
27 --- 27
28 --- 28
29 --- 29
30 --- 30
31 --- 31
32 --- 32
33 --- 33
34 --- 34
35 --- 35
36 --- 36
37 --- 37
38 --- 38
39 --- 39
40 --- 40
41 --- 41
42 --- 42
43 --- 43
44 --- 44
45 --- 45
46 --- 46
47 --- 47
48 --- 48
49 --- 49
50 --- 50

MISSED:
0 --- 0
1 --- 1
2 --- 2
3 --- 3
4 --- 4
5 --- 5
6 --- 6
7 --- 7
8 --- 8
9 --- 9
10 --- 10
11 --- 11
12 --- 12
13 --- 13
14 --- 14
15 --- 15
16 --- 16
17 --- 17
18 --- 18
19 --- 19
20 --- 20
21 --- 21
22 --- 22
23 --- 23
24 --- 24
25 --- 25
26 --- 26
27 --- 27
28 --- 28
29 --- 29
30 --- 30
31 --- 31
32 --- 32
33 --- 33
34 --- 34
35 --- 35
36 --- 36
37 --- 37
38 --- 38
39 --- 39
40 --- 40
41 --- 41
42 --- 42
43 --- 43
44 --- 44
45 --- 45
46 --- 46
47 --- 47
48 --- 48
49 --- 49
50 --- 50
51 --- 51
52 --- 52
53 --- 53
54 --- 54
55 --- 55
56 --- 56
57 --- 57
58 --- 58
59 --- 59
60 --- 60
61 --- 61
62 --- 62
63 --- 63

INCORRECT:
0 --- 0
1 --- 1
2 --- 2
3 --- 3
4 --- 4
5 --- 5
6 --- 6
7 --- 7
8 --- 8
9 --- 9
10 --- 10
11 --- 11
12 --- 12
13 --- 13
14 --- 14
15 --- 15
16 --- 16
17 --- 17
18 --- 18
19 --- 19
20 --- 20
21 --- 21
22 --- 22
23 --- 23
24 --- 24
25 --- 25
26 --- 26
27 --- 27
28 --- 28


NARROMI connection information

FOUND:
0 --- 0
1 --- 1
2 --- 2
3 --- 3
4 --- 4
5 --- 5
6 --- 6
7 --- 7
8 --- 8
9 --- 9

MISSED:
0 --- 0
1 --- 1
2 --- 2
3 --- 3
4 --- 4
5 --- 5
6 --- 6
7 --- 7
8 --- 8
9 --- 9
10 --- 10
11 --- 11
12 --- 12
13 --- 13
14 --- 14
15 --- 15
16 --- 16
17 --- 17
18 --- 18
19 --- 19
20 --- 20
21 --- 21
22 --- 22
23 --- 23
24 --- 24
25 --- 25
26 --- 26
27 --- 27
28 --- 28
29 --- 29
30 --- 30
31 --- 31
32 --- 32
33 --- 33
34 --- 34
35 --- 35
36 --- 36
37 --- 37
38 --- 38
39 --- 39
40 --- 40
41 --- 41
42 --- 42
43 --- 43
44 --- 44
45 --- 45
46 --- 46
47 --- 47
48 --- 48
49 --- 49
50 --- 50
51 --- 51
52 --- 52
53 --- 53
54 --- 54
55 --- 55
56 --- 56
57 --- 57
58 --- 58
59 --- 59
60 --- 60
61 --- 61
62 --- 62
63 --- 63
64 --- 64
65 --- 65
66 --- 66
67 --- 67
68 --- 68
69 --- 69
70 --- 70
71 --- 71
72 --- 72
73 --- 73
74 --- 74
75 --- 75
76 --- 76
77 --- 77
78 --- 78
79 --- 79
80 --- 80
81 --- 81
82 --- 82
83 --- 83
84 --- 84
85 --- 85
86 --- 86
87 --- 87
88 --- 88
89 --- 89
90 --- 90
91 --- 91
92 --- 92
93 --- 93
94 --- 94
95 --- 95
96 --- 96
97 --- 97
98 --- 98
99 --- 99
100 --- 100
101 --- 101
102 --- 102
103 --- 103
104 --- 104

INCORRECT:
0 --- 0
1 --- 1
2 --- 2
3 --- 3
4 --- 4
5 --- 5
6 --- 6
7 --- 7


EB_full connection information

FOUND:
0 --- 0
1 --- 1
2 --- 2
3 --- 3
4 --- 4
5 --- 5
6 --- 6
7 --- 7
8 --- 8
9 --- 9
10 --- 10
11 --- 11
12 --- 12
13 --- 13
14 --- 14
15 --- 15
16 --- 16
17 --- 17
18 --- 18
19 --- 19
20 --- 20
21 --- 21
22 --- 22
23 --- 23
24 --- 24
25 --- 25

MISSED:
0 --- 0
1 --- 1
2 --- 2
3 --- 3
4 --- 4
5 --- 5
6 --- 6
7 --- 7
8 --- 8
9 --- 9
10 --- 10
11 --- 11
12 --- 12
13 --- 13
14 --- 14
15 --- 15
16 --- 16
17 --- 17
18 --- 18
19 --- 19
20 --- 20
21 --- 21
22 --- 22
23 --- 23
24 --- 24
25 --- 25
26 --- 26
27 --- 27
28 --- 28
29 --- 29
30 --- 30
31 --- 31
32 --- 32
33 --- 33
34 --- 34
35 --- 35
36 --- 36
37 --- 37
38 --- 38
39 --- 39
40 --- 40
41 --- 41
42 --- 42
43 --- 43
44 --- 44
45 --- 45
46 --- 46
47 --- 47
48 --- 48
49 --- 49
50 --- 50
51 --- 51
52 --- 52
53 --- 53
54 --- 54
55 --- 55
56 --- 56
57 --- 57
58 --- 58
59 --- 59
60 --- 60
61 --- 61
62 --- 62
63 --- 63
64 --- 64
65 --- 65
66 --- 66
67 --- 67
68 --- 68
69 --- 69
70 --- 70
71 --- 71
72 --- 72
73 --- 73
74 --- 74
75 --- 75
76 --- 76
77 --- 77
78 --- 78
79 --- 79
80 --- 80
81 --- 81
82 --- 82
83 --- 83
84 --- 84
85 --- 85
86 --- 86
87 --- 87
88 --- 88

INCORRECT:
0 --- 0
1 --- 1
2 --- 2
3 --- 3
4 --- 4


EB_ten connection information

FOUND:
0 --- 0
1 --- 1
2 --- 2
3 --- 3
4 --- 4
5 --- 5
6 --- 6
7 --- 7
8 --- 8
9 --- 9
10 --- 10
11 --- 11
12 --- 12
13 --- 13
14 --- 14
15 --- 15
16 --- 16
17 --- 17
18 --- 18
19 --- 19
20 --- 20
21 --- 21
22 --- 22
23 --- 23
24 --- 24
25 --- 25

MISSED:
0 --- 0
1 --- 1
2 --- 2
3 --- 3
4 --- 4
5 --- 5
6 --- 6
7 --- 7
8 --- 8
9 --- 9
10 --- 10
11 --- 11
12 --- 12
13 --- 13
14 --- 14
15 --- 15
16 --- 16
17 --- 17
18 --- 18
19 --- 19
20 --- 20
21 --- 21
22 --- 22
23 --- 23
24 --- 24
25 --- 25
26 --- 26
27 --- 27
28 --- 28
29 --- 29
30 --- 30
31 --- 31
32 --- 32
33 --- 33
34 --- 34
35 --- 35
36 --- 36
37 --- 37
38 --- 38
39 --- 39
40 --- 40
41 --- 41
42 --- 42
43 --- 43
44 --- 44
45 --- 45
46 --- 46
47 --- 47
48 --- 48
49 --- 49
50 --- 50
51 --- 51
52 --- 52
53 --- 53
54 --- 54
55 --- 55
56 --- 56
57 --- 57
58 --- 58
59 --- 59
60 --- 60
61 --- 61
62 --- 62
63 --- 63
64 --- 64
65 --- 65
66 --- 66
67 --- 67
68 --- 68
69 --- 69
70 --- 70
71 --- 71
72 --- 72
73 --- 73
74 --- 74
75 --- 75
76 --- 76
77 --- 77
78 --- 78
79 --- 79
80 --- 80
81 --- 81
82 --- 82
83 --- 83
84 --- 84
85 --- 85
86 --- 86
87 --- 87
88 --- 88

INCORRECT:
0 --- 0
1 --- 1
2 --- 2
3 --- 3
4 --- 4


EB_five connection information

FOUND:
0 --- 0
1 --- 1
2 --- 2
3 --- 3
4 --- 4
5 --- 5
6 --- 6
7 --- 7
8 --- 8
9 --- 9
10 --- 10
11 --- 11
12 --- 12
13 --- 13
14 --- 14
15 --- 15
16 --- 16
17 --- 17
18 --- 18
19 --- 19
20 --- 20
21 --- 21
22 --- 22
23 --- 23
24 --- 24
25 --- 25
26 --- 26

MISSED:
0 --- 0
1 --- 1
2 --- 2
3 --- 3
4 --- 4
5 --- 5
6 --- 6
7 --- 7
8 --- 8
9 --- 9
10 --- 10
11 --- 11
12 --- 12
13 --- 13
14 --- 14
15 --- 15
16 --- 16
17 --- 17
18 --- 18
19 --- 19
